C0 (4060 genes)	C1 (1821 genes)	C2 (1008 genes)	C3 (1919 genes)	C4 (4920 genes)	C5 (2858 genes)	C6 (1913 genes)	C7 (256 genes)
Pele_NODE_119923_length_1015_cov_215431.702760_g59944_i0				Pele_NODE_117685_length_1038_cov_252.936788_g58396_i0	Pele_NODE_39929_length_2540_cov_5714.891366_g17464_i0		
Pele_NODE_119970_length_1015_cov_29.599788_g59972_i0				Pele_NODE_11840_length_4332_cov_397.248650_g3910_i2	Pele_NODE_39938_length_2540_cov_203.847994_g16135_i1		
Pele_NODE_120113_length_1013_cov_15978.278723_g60079_i0				Pele_NODE_118663_length_1028_cov_111.573822_g59057_i0	Pele_NODE_39965_length_2539_cov_204.491079_g17480_i0		
Pele_NODE_120128_length_1013_cov_321.030851_g60089_i0				Pele_NODE_11876_length_4329_cov_189.291118_g5525_i0	Pele_NODE_40073_length_2535_cov_1392.064175_g15481_i1		
Pele_NODE_120237_length_1012_cov_203.553781_g57604_i1				Pele_NODE_118937_length_1025_cov_22592.936975_g59253_i0	Pele_NODE_40404_length_2524_cov_574.756018_g17671_i0		
Pele_NODE_120242_length_1012_cov_170.928647_g60171_i0				Pele_NODE_118947_length_1025_cov_550.294118_g9601_i3	Pele_NODE_40455_length_2522_cov_1604.234790_g16716_i5		
Pele_NODE_120258_length_1012_cov_31.119276_g60182_i0				Pele_NODE_119035_length_1024_cov_1672.903260_g6630_i4	Pele_NODE_4045_length_6080_cov_216.029299_g2068_i0		
Pele_NODE_120421_length_1010_cov_414.514408_g60297_i0				Pele_NODE_11921_length_4324_cov_221.568807_g5009_i2	Pele_NODE_4048_length_6079_cov_98.979187_g2071_i0		
Pele_NODE_120809_length_1006_cov_1365.183280_g60562_i0				Pele_NODE_119355_length_1021_cov_434.645570_g16218_i3	Pele_NODE_40514_length_2520_cov_346.754802_g9476_i3		
Pele_NODE_120864_length_1006_cov_20.991426_g60594_i0				Pele_NODE_1197_length_8162_cov_660.215849_g665_i0	Pele_NODE_40650_length_2514_cov_762.353953_g64_i589		
Pele_NODE_121011_length_1004_cov_926.626208_g60708_i0				Pele_NODE_11989_length_4314_cov_710.536194_g5461_i1	Pele_NODE_40706_length_2512_cov_247.903239_g15875_i1		
Pele_NODE_121051_length_1004_cov_42.598281_g60731_i0				Pele_NODE_119928_length_1015_cov_2064.825902_g59948_i0	Pele_NODE_40709_length_2512_cov_102.039770_g17805_i0		
Pele_NODE_121124_length_1003_cov_137.440860_g60783_i0				Pele_NODE_12025_length_4309_cov_2073.974268_g2075_i8	Pele_NODE_40735_length_2511_cov_128.588187_g17814_i0		
Pele_NODE_121235_length_1002_cov_39.115178_g60870_i0				Pele_NODE_120330_length_1011_cov_342.865672_g16030_i3	Pele_NODE_40751_length_2510_cov_802.544112_g17823_i0		
Pele_NODE_121496_length_999_cov_234.465443_g61070_i0				Pele_NODE_1203_length_8155_cov_137.013858_g650_i1	Pele_NODE_40753_length_2510_cov_541.280673_g14668_i2		
Pele_NODE_121508_length_999_cov_124.619870_g61079_i0				Pele_NODE_12052_length_4305_cov_643.839792_g2247_i3	Pele_NODE_40782_length_2509_cov_1019.208949_g8167_i1		
Pele_NODE_121527_length_999_cov_33.398488_g61089_i0				Pele_NODE_12055_length_4305_cov_371.355151_g5602_i0	Pele_NODE_40818_length_2508_cov_154.389733_g17851_i0		
Pele_NODE_121631_length_998_cov_40.074595_g61163_i0				Pele_NODE_12057_length_4305_cov_272.669187_g5603_i0	Pele_NODE_40837_length_2507_cov_547.525883_g17862_i0		
Pele_NODE_121665_length_998_cov_4.196757_g57442_i1				Pele_NODE_120710_length_1007_cov_6271.088865_g44845_i1	Pele_NODE_40910_length_2504_cov_14601.352941_g10407_i6		
Pele_NODE_12169_length_4290_cov_4444.135167_g5439_i1				Pele_NODE_12071_length_4304_cov_114.851335_g4475_i1	Pele_NODE_40917_length_2504_cov_1010.764706_g11555_i2		
Pele_NODE_121870_length_995_cov_6747.792842_g30557_i2				Pele_NODE_12080_length_4302_cov_2019.807992_g5616_i0	Pele_NODE_40923_length_2504_cov_253.463184_g5318_i2		
Pele_NODE_121982_length_994_cov_1444.628664_g61395_i0				Pele_NODE_12081_length_4302_cov_423.765193_g870_i12	Pele_NODE_40926_length_2504_cov_172.397367_g1102_i15		
Pele_NODE_121992_length_994_cov_354.935939_g61402_i0				Pele_NODE_120840_length_1006_cov_144.524116_g60580_i0	Pele_NODE_41074_length_2498_cov_518.767010_g17964_i0		
Pele_NODE_122133_length_993_cov_43.876087_g61488_i0				Pele_NODE_12090_length_4301_cov_490.868496_g5621_i0	Pele_NODE_41184_length_2495_cov_144.964492_g9017_i8		
Pele_NODE_122307_length_991_cov_153.267974_g57914_i1				Pele_NODE_120928_length_1005_cov_457.331545_g60645_i0	Pele_NODE_41310_length_2489_cov_345.170116_g10697_i4		
Pele_NODE_122406_length_990_cov_282.810251_g61672_i0				Pele_NODE_121117_length_1003_cov_222.413978_g60781_i0	Pele_NODE_41370_length_2487_cov_411.188484_g18080_i0		
Pele_NODE_122413_length_990_cov_187.663032_g61676_i0				Pele_NODE_12135_length_4295_cov_28.702511_g5641_i0	Pele_NODE_41376_length_2487_cov_103.006214_g4831_i4		
Pele_NODE_122696_length_987_cov_86.841357_g61866_i0				Pele_NODE_121403_length_1000_cov_1134.795038_g60998_i0	Pele_NODE_41590_length_2478_cov_388.081497_g17849_i1		
Pele_NODE_122800_length_986_cov_155.176342_g61950_i0				Pele_NODE_12142_length_4294_cov_195.671168_g5645_i0	Pele_NODE_41612_length_2477_cov_822.780366_g18187_i0		
Pele_NODE_122880_length_985_cov_1340.497807_g62010_i0				Pele_NODE_121451_length_1000_cov_4.214671_g61030_i0	Pele_NODE_41647_length_2476_cov_282.908448_g17865_i2		
Pele_NODE_122904_length_985_cov_134.959430_g672_i82				Pele_NODE_121482_length_999_cov_1691.419006_g61059_i0	Pele_NODE_41705_length_2474_cov_239.281133_g18226_i0		
Pele_NODE_122909_length_985_cov_53.655702_g62026_i0				Pele_NODE_121486_length_999_cov_1250.199784_g61061_i0	Pele_NODE_41707_length_2474_cov_209.492711_g18227_i0		
Pele_NODE_122979_length_984_cov_71633.532382_g10469_i5				Pele_NODE_121684_length_997_cov_3411.356061_g59470_i1	Pele_NODE_41807_length_2470_cov_4159.115561_g18275_i0		
Pele_NODE_123000_length_984_cov_314.958288_g62100_i0				Pele_NODE_12193_length_4287_cov_207.480541_g5672_i0	Pele_NODE_4183_length_6029_cov_506.691404_g2131_i0		
Pele_NODE_123021_length_984_cov_62.777168_g62111_i0				Pele_NODE_121984_length_994_cov_800.295331_g61397_i0	Pele_NODE_41844_length_2469_cov_206.738314_g18290_i0		
Pele_NODE_123325_length_981_cov_125.258811_g9164_i8				Pele_NODE_12200_length_4286_cov_193.126038_g5675_i0	Pele_NODE_41881_length_2468_cov_312.959081_g11942_i2		
Pele_NODE_123423_length_980_cov_364.993385_g62401_i0				Pele_NODE_12205_length_4285_cov_887.366572_g278_i116	Pele_NODE_41883_length_2468_cov_282.622965_g18306_i0		
Pele_NODE_123504_length_979_cov_527.509934_g62452_i0				Pele_NODE_12213_length_4284_cov_119.865115_g3928_i1	Pele_NODE_41933_length_2466_cov_3867.178437_g18333_i0		
Pele_NODE_123509_length_979_cov_250.650110_g62456_i0				Pele_NODE_12223_length_4283_cov_288.097150_g5442_i1	Pele_NODE_41970_length_2465_cov_1134.286789_g18349_i0		
Pele_NODE_123516_length_979_cov_171.615894_g62461_i0				Pele_NODE_122295_length_991_cov_243.145969_g40498_i1	Pele_NODE_4210_length_6018_cov_36.934567_g2146_i0		
Pele_NODE_123603_length_978_cov_603.056354_g62528_i0				Pele_NODE_12245_length_4280_cov_215.785595_g3801_i1	Pele_NODE_42119_length_2461_cov_63.587102_g18403_i0		
Pele_NODE_123639_length_978_cov_36.562431_g62543_i0				Pele_NODE_12285_length_4275_cov_74.526416_g5704_i0	Pele_NODE_42137_length_2460_cov_523.353582_g1627_i23		
Pele_NODE_123641_length_978_cov_35.918232_g62545_i0				Pele_NODE_122987_length_984_cov_1432.803513_g62094_i0	Pele_NODE_42230_length_2457_cov_211.504614_g16135_i2		
Pele_NODE_123702_length_977_cov_1601.176991_g62595_i0				Pele_NODE_12300_length_4273_cov_503.566905_g5712_i0	Pele_NODE_42253_length_2456_cov_127.127570_g7477_i1		
Pele_NODE_123726_length_977_cov_182.110619_g62610_i0				Pele_NODE_12304_length_4273_cov_185.702381_g5478_i2	Pele_NODE_42371_length_2452_cov_429.553594_g18514_i0		
Pele_NODE_123825_length_976_cov_543.599114_g62687_i0				Pele_NODE_12305_length_4273_cov_123.756429_g3798_i1	Pele_NODE_42422_length_2451_cov_84.921783_g18527_i0		
Pele_NODE_123856_length_976_cov_38.227021_g60457_i1				Pele_NODE_12327_length_4270_cov_185.491780_g4408_i1	Pele_NODE_42496_length_2449_cov_158.563973_g1801_i15		
Pele_NODE_12391_length_4261_cov_40.999761_g5750_i0				Pele_NODE_123303_length_981_cov_624.362335_g62316_i0	Pele_NODE_42517_length_2448_cov_894.932632_g17432_i1		
Pele_NODE_123924_length_975_cov_6957.105322_g49172_i1				Pele_NODE_123416_length_980_cov_608.414553_g62396_i0	Pele_NODE_42518_length_2448_cov_745.275789_g18572_i0		
Pele_NODE_123950_length_975_cov_205.984479_g62774_i0				Pele_NODE_123425_length_980_cov_316.959206_g62402_i0	Pele_NODE_42522_length_2448_cov_306.011368_g192_i6		
Pele_NODE_124145_length_973_cov_758.660000_g62920_i0				Pele_NODE_12372_length_4263_cov_874.766826_g5382_i3	Pele_NODE_4258_length_5999_cov_1325.170435_g2079_i1		
Pele_NODE_124177_length_973_cov_47.256667_g62937_i0				Pele_NODE_124035_length_974_cov_844.836848_g62842_i0	Pele_NODE_42703_length_2441_cov_560.882179_g18650_i0		
Pele_NODE_124414_length_970_cov_3400.803790_g63118_i0				Pele_NODE_12409_length_4259_cov_183.192785_g231_i12	Pele_NODE_42713_length_2441_cov_184.024071_g2424_i16		
Pele_NODE_124541_length_969_cov_1066.797991_g63206_i0				Pele_NODE_12414_length_4258_cov_565.146714_g1403_i2	Pele_NODE_42760_length_2439_cov_2804.050719_g6509_i4		
Pele_NODE_124594_length_969_cov_26.906250_g63237_i0				Pele_NODE_124244_length_972_cov_3617.952169_g62997_i0	Pele_NODE_42895_length_2434_cov_1632.436256_g18736_i0		
Pele_NODE_124638_length_968_cov_1687.109497_g63273_i0				Pele_NODE_12426_length_4257_cov_195.884321_g5770_i0	Pele_NODE_43028_length_2430_cov_940.162070_g14448_i1		
Pele_NODE_124760_length_967_cov_146.559284_g63363_i0				Pele_NODE_124365_length_971_cov_39.179287_g63077_i0	Pele_NODE_43029_length_2430_cov_868.497242_g5648_i6		
Pele_NODE_124954_length_965_cov_1907.015695_g63500_i0				Pele_NODE_1243_length_8097_cov_35.633724_g690_i0	Pele_NODE_43031_length_2430_cov_529.080611_g386_i225		
Pele_NODE_125058_length_964_cov_480.616162_g53084_i2				Pele_NODE_124429_length_970_cov_255.372352_g63126_i0	Pele_NODE_43039_length_2430_cov_121.734408_g18800_i0		
Pele_NODE_125066_length_964_cov_257.671156_g63577_i0				Pele_NODE_1244_length_8095_cov_127.131763_g691_i0	Pele_NODE_43069_length_2429_cov_176.981749_g369_i62		
Pele_NODE_125282_length_962_cov_143.968504_g63738_i0				Pele_NODE_12466_length_4253_cov_631.475120_g5786_i0	Pele_NODE_43097_length_2428_cov_240.216136_g18829_i0		
Pele_NODE_125660_length_958_cov_92.372881_g64011_i0				Pele_NODE_12468_length_4253_cov_307.341866_g5788_i0	Pele_NODE_43123_length_2427_cov_1340.700935_g7443_i5		
Pele_NODE_125682_length_958_cov_17.450847_g64023_i0				Pele_NODE_124734_length_967_cov_1914.581655_g6630_i5	Pele_NODE_43152_length_2426_cov_1126.003400_g18858_i0		
Pele_NODE_125744_length_957_cov_1463.779412_g61063_i2				Pele_NODE_12506_length_4247_cov_379.431960_g5806_i0	Pele_NODE_43198_length_2425_cov_297.846088_g18879_i0		
Pele_NODE_126106_length_954_cov_32.195233_g64331_i0				Pele_NODE_12510_length_4246_cov_468.786724_g1847_i3	Pele_NODE_43232_length_2424_cov_324.750319_g18895_i0		
Pele_NODE_126195_length_953_cov_174.447727_g64408_i0				Pele_NODE_12536_length_4243_cov_1057.624221_g5480_i1	Pele_NODE_4332_length_5974_cov_427.539739_g2177_i1		
Pele_NODE_126206_length_953_cov_84.405682_g64416_i0				Pele_NODE_12537_length_4243_cov_901.150360_g5820_i0	Pele_NODE_43388_length_2419_cov_73.887042_g18971_i0		
Pele_NODE_126487_length_950_cov_1344.768529_g64632_i0				Pele_NODE_125754_length_957_cov_322.480769_g64080_i0	Pele_NODE_43434_length_2417_cov_130.433874_g18994_i0		
Pele_NODE_126656_length_949_cov_16.875571_g64751_i0				Pele_NODE_12579_length_4239_cov_112.029045_g5833_i0	Pele_NODE_43450_length_2416_cov_2378.596671_g15690_i1		
Pele_NODE_126875_length_947_cov_29.144165_g64906_i0				Pele_NODE_12586_length_4238_cov_284.925330_g5838_i0	Pele_NODE_43464_length_2416_cov_143.938114_g7670_i1		
Pele_NODE_126949_length_946_cov_1758.673540_g64971_i0				Pele_NODE_12603_length_4236_cov_182.362719_g2221_i2	Pele_NODE_43516_length_2414_cov_155.146091_g19027_i0		
Pele_NODE_126998_length_946_cov_44.849943_g64996_i0				Pele_NODE_126186_length_953_cov_382.109091_g19567_i1	Pele_NODE_43568_length_2412_cov_829.029072_g17890_i4		
Pele_NODE_127081_length_945_cov_55.196101_g65066_i0				Pele_NODE_126200_length_953_cov_101.503409_g64413_i0	Pele_NODE_43573_length_2412_cov_190.780248_g19053_i0		
Pele_NODE_127219_length_944_cov_13.354765_g65170_i0				Pele_NODE_126383_length_951_cov_1201.799544_g25497_i5	Pele_NODE_43671_length_2409_cov_1497.027825_g11956_i1		
Pele_NODE_127307_length_943_cov_30.385057_g65234_i0				Pele_NODE_12644_length_4232_cov_133.233950_g5862_i0	Pele_NODE_43700_length_2408_cov_194.793148_g19114_i0		
Pele_NODE_127372_length_942_cov_1114.730725_g65295_i0				Pele_NODE_126479_length_950_cov_20983.550741_g64624_i0	Pele_NODE_43735_length_2407_cov_70.846187_g19124_i0		
Pele_NODE_127425_length_942_cov_29.592635_g60661_i1				Pele_NODE_126485_length_950_cov_2012.475485_g64630_i0	Pele_NODE_43754_length_2406_cov_253.586369_g19136_i0		
Pele_NODE_127556_length_940_cov_51430.579008_g65425_i0				Pele_NODE_126626_length_949_cov_124.005708_g43641_i4	Pele_NODE_43786_length_2405_cov_115.825901_g19142_i0		
Pele_NODE_127557_length_940_cov_2300.855825_g65426_i0				Pele_NODE_126710_length_948_cov_1296.812571_g17036_i4	Pele_NODE_43826_length_2404_cov_42.031317_g19161_i0		
Pele_NODE_127589_length_940_cov_78.271050_g65442_i0				Pele_NODE_12682_length_4227_cov_2259.082330_g5880_i0	Pele_NODE_43893_length_2402_cov_162.160155_g18226_i2		
Pele_NODE_127597_length_940_cov_22.724337_g61813_i1				Pele_NODE_1269_length_8066_cov_61.490804_g703_i0	Pele_NODE_43924_length_2401_cov_69.180412_g19203_i0		
Pele_NODE_127673_length_939_cov_79.748268_g65494_i0				Pele_NODE_127159_length_944_cov_1381.566016_g65132_i0	Pele_NODE_43943_length_2400_cov_255.161581_g19213_i0		
Pele_NODE_127683_length_939_cov_36.094688_g61811_i1				Pele_NODE_127181_length_944_cov_134.594719_g51660_i1	Pele_NODE_44053_length_2396_cov_844.332759_g19258_i0		
Pele_NODE_127684_length_939_cov_35.330254_g62549_i1				Pele_NODE_127199_length_944_cov_34.281286_g22349_i2	Pele_NODE_44070_length_2396_cov_25.569953_g19262_i0		
Pele_NODE_127806_length_938_cov_39.265896_g65587_i0				Pele_NODE_127259_length_943_cov_6654.103448_g65208_i0	Pele_NODE_44158_length_2393_cov_227.935776_g5703_i1		
Pele_NODE_127883_length_937_cov_369.377315_g65649_i0				Pele_NODE_127366_length_942_cov_3735.708861_g65291_i0	Pele_NODE_44190_length_2392_cov_266.431220_g278_i355		
Pele_NODE_128101_length_935_cov_195.750580_g51718_i1				Pele_NODE_127379_length_942_cov_607.859609_g65302_i0	Pele_NODE_44265_length_2390_cov_89.461804_g19352_i0		
Pele_NODE_128109_length_935_cov_72.655452_g65820_i0				Pele_NODE_128015_length_936_cov_225.877173_g65749_i0	Pele_NODE_44383_length_2386_cov_248.004756_g164_i198		
Pele_NODE_128188_length_934_cov_761.663182_g65887_i0				Pele_NODE_128236_length_934_cov_20.412311_g65913_i0	Pele_NODE_44407_length_2385_cov_814.080017_g7824_i2		
Pele_NODE_128215_length_934_cov_73.916376_g65900_i0				Pele_NODE_12827_length_4210_cov_2835.372976_g64_i187	Pele_NODE_44418_length_2385_cov_99.381055_g10600_i1		
Pele_NODE_128314_length_933_cov_284.240698_g12024_i8				Pele_NODE_12828_length_4210_cov_663.074450_g3962_i1	Pele_NODE_44491_length_2382_cov_413.577306_g19437_i0		
Pele_NODE_128336_length_933_cov_54.433721_g65994_i0				Pele_NODE_128387_length_932_cov_4465.019790_g62997_i1	Pele_NODE_44621_length_2378_cov_55.574837_g19487_i0		
Pele_NODE_128342_length_933_cov_40.047674_g65999_i0				Pele_NODE_128603_length_930_cov_2508.450408_g66207_i0	Pele_NODE_4462_length_5918_cov_665.008725_g64_i66		
Pele_NODE_12849_length_4209_cov_34.337282_g5941_i0				Pele_NODE_128714_length_929_cov_1597.314252_g66294_i0	Pele_NODE_44699_length_2375_cov_510.700695_g5215_i1		
Pele_NODE_128504_length_931_cov_1700.606061_g66127_i0				Pele_NODE_12884_length_4203_cov_257.638741_g5956_i0	Pele_NODE_44700_length_2375_cov_437.304083_g19524_i0		
Pele_NODE_12854_length_4208_cov_239.889238_g5944_i0				Pele_NODE_12906_length_4200_cov_563.323722_g5820_i3	Pele_NODE_4470_length_5915_cov_540.813420_g2267_i0		
Pele_NODE_128651_length_930_cov_39.851809_g62791_i1				Pele_NODE_12932_length_4197_cov_357.400339_g5986_i0	Pele_NODE_44780_length_2372_cov_625.152240_g13348_i2		
Pele_NODE_128731_length_929_cov_297.668224_g66305_i0				Pele_NODE_12936_length_4197_cov_119.987391_g5988_i0	Pele_NODE_44781_length_2372_cov_596.752936_g7728_i3		
Pele_NODE_128835_length_928_cov_710.538012_g66383_i0				Pele_NODE_129397_length_923_cov_314.989412_g4618_i3	Pele_NODE_44786_length_2372_cov_323.298391_g19567_i0		
Pele_NODE_128929_length_927_cov_2694.841920_g66455_i0				Pele_NODE_12947_length_4195_cov_907.919457_g4637_i10	Pele_NODE_44839_length_2370_cov_2227.088811_g19592_i0		
Pele_NODE_129076_length_926_cov_100.449004_g66557_i0				Pele_NODE_129503_length_922_cov_3167.983510_g66890_i0	Pele_NODE_44878_length_2369_cov_213.777003_g19608_i0		
Pele_NODE_129097_length_926_cov_33.071512_g66568_i0				Pele_NODE_12951_length_4195_cov_354.000485_g5994_i0	Pele_NODE_45017_length_2365_cov_101.007417_g19671_i0		
Pele_NODE_129208_length_925_cov_79.073944_g66647_i0				Pele_NODE_12953_length_4195_cov_261.157205_g5996_i0	Pele_NODE_45033_length_2364_cov_33853.631165_g64_i630		
Pele_NODE_129285_length_924_cov_584.304348_g66711_i0				Pele_NODE_129719_length_920_cov_4277.685950_g67054_i0	Pele_NODE_45176_length_2360_cov_98.639265_g1559_i26		
Pele_NODE_129329_length_924_cov_19.793184_g66741_i0				Pele_NODE_129825_length_919_cov_3593.997636_g67138_i0	Pele_NODE_45284_length_2356_cov_287.146737_g19786_i0		
Pele_NODE_129400_length_923_cov_295.208235_g66799_i0				Pele_NODE_12985_length_4192_cov_111.386744_g6014_i0	Pele_NODE_45299_length_2355_cov_4325.267309_g13074_i1		
Pele_NODE_129413_length_923_cov_90.330588_g66809_i0				Pele_NODE_12999_length_4189_cov_651.670068_g5382_i5	Pele_NODE_45313_length_2355_cov_271.388256_g1767_i8		
Pele_NODE_129421_length_923_cov_50.117647_g66816_i0				Pele_NODE_13009_length_4188_cov_772.708870_g6024_i0	Pele_NODE_45343_length_2354_cov_168.062253_g19809_i0		
Pele_NODE_129440_length_923_cov_24.796471_g66830_i0				Pele_NODE_130248_length_915_cov_4142.914489_g18400_i3	Pele_NODE_45427_length_2352_cov_45.106187_g1707_i15		
Pele_NODE_12948_length_4195_cov_522.246482_g3441_i6				Pele_NODE_130258_length_915_cov_622.809976_g67458_i0	Pele_NODE_45536_length_2348_cov_580.081319_g19535_i1		
Pele_NODE_129533_length_922_cov_90.342756_g66909_i0				Pele_NODE_1302_length_8023_cov_649.195220_g720_i0	Pele_NODE_45913_length_2336_cov_150.432612_g20057_i0		
Pele_NODE_129620_length_921_cov_292.997642_g66978_i0				Pele_NODE_13063_length_4183_cov_1341.554988_g5899_i1	Pele_NODE_45967_length_2334_cov_835.338788_g20086_i0		
Pele_NODE_129633_length_921_cov_92.146226_g66986_i0				Pele_NODE_13071_length_4182_cov_408.330251_g5118_i2	Pele_NODE_45969_length_2334_cov_316.846528_g19725_i1		
Pele_NODE_129848_length_919_cov_114.505910_g65496_i1				Pele_NODE_13077_length_4181_cov_865.935492_g6055_i0	Pele_NODE_46043_length_2332_cov_100.347056_g20125_i0		
Pele_NODE_129942_length_918_cov_277.439053_g67228_i0				Pele_NODE_130793_length_910_cov_1075.293907_g7933_i11	Pele_NODE_46090_length_2330_cov_451.970315_g20152_i0		
Pele_NODE_129945_length_918_cov_257.165680_g44254_i1				Pele_NODE_13081_length_4181_cov_249.613681_g6056_i0	Pele_NODE_46237_length_2325_cov_1498.785968_g20217_i0		
Pele_NODE_130060_length_917_cov_224.921801_g12686_i18				Pele_NODE_130837_length_910_cov_27.880526_g17486_i3	Pele_NODE_46240_length_2325_cov_875.757105_g19760_i1		
Pele_NODE_130148_length_916_cov_465.564650_g67376_i0				Pele_NODE_13102_length_4179_cov_217.955188_g6066_i0	Pele_NODE_46267_length_2324_cov_7664.265660_g20233_i0		
Pele_NODE_130177_length_916_cov_65.290629_g67397_i0				Pele_NODE_13108_length_4178_cov_467.016322_g6068_i0	Pele_NODE_46366_length_2322_cov_273.737661_g20070_i2		
Pele_NODE_130250_length_915_cov_2976.026128_g64971_i2				Pele_NODE_13113_length_4177_cov_459.046540_g6072_i0	Pele_NODE_46505_length_2317_cov_895.086898_g17542_i1		
Pele_NODE_130280_length_915_cov_75.690024_g67471_i0				Pele_NODE_131268_length_906_cov_59.788715_g68216_i0	Pele_NODE_4661_length_5841_cov_567.027913_g2365_i0		
Pele_NODE_13030_length_4187_cov_53.933398_g6035_i0				Pele_NODE_131337_length_905_cov_8423.162260_g68272_i0	Pele_NODE_46637_length_2313_cov_2741.135268_g20378_i0		
Pele_NODE_130584_length_912_cov_228.311085_g31041_i6				Pele_NODE_13140_length_4175_cov_842.196246_g1766_i2	Pele_NODE_46659_length_2312_cov_1533.850380_g3888_i4		
Pele_NODE_130687_length_911_cov_2547.138425_g67783_i0				Pele_NODE_131572_length_903_cov_214.885542_g68450_i0	Pele_NODE_46802_length_2308_cov_2480.862640_g19992_i1		
Pele_NODE_130725_length_911_cov_38.714797_g67805_i0				Pele_NODE_131803_length_901_cov_187.625604_g68637_i0	Pele_NODE_46882_length_2306_cov_269.618451_g20481_i0		
Pele_NODE_130900_length_909_cov_1882.184211_g67945_i0				Pele_NODE_13187_length_4170_cov_218.907249_g2541_i1	Pele_NODE_46907_length_2305_cov_551.562724_g15173_i1		
Pele_NODE_130925_length_909_cov_132.032297_g67960_i0				Pele_NODE_1318_length_7999_cov_104.074817_g731_i0	Pele_NODE_47011_length_2302_cov_399.717811_g20533_i0		
Pele_NODE_130981_length_909_cov_5.959330_g67993_i0				Pele_NODE_131902_length_900_cov_110.592503_g68718_i0	Pele_NODE_47042_length_2301_cov_201.744165_g20546_i0		
Pele_NODE_131031_length_908_cov_2121.314970_g68042_i0				Pele_NODE_132103_length_898_cov_17406.667879_g26974_i2	Pele_NODE_47312_length_2293_cov_148.625225_g4797_i9		
Pele_NODE_131147_length_907_cov_252.792566_g68131_i0				Pele_NODE_13212_length_4167_cov_636.912311_g3016_i4	Pele_NODE_47342_length_2292_cov_642.674178_g12546_i2		
Pele_NODE_131300_length_906_cov_5.176471_g68237_i0				Pele_NODE_132196_length_897_cov_12010.990291_g221_i17	Pele_NODE_47358_length_2292_cov_38.539432_g20683_i0		
Pele_NODE_131354_length_905_cov_270.069712_g68280_i0				Pele_NODE_13223_length_4166_cov_171.972636_g6116_i0	Pele_NODE_47423_length_2290_cov_417.993234_g20715_i0		
Pele_NODE_13143_length_4175_cov_298.021697_g6085_i0				Pele_NODE_13232_length_4165_cov_318.515640_g4984_i2	Pele_NODE_47460_length_2289_cov_189.557310_g13771_i4		
Pele_NODE_131491_length_904_cov_22.317690_g68385_i0				Pele_NODE_13250_length_4163_cov_167.708068_g6130_i0	Pele_NODE_47479_length_2288_cov_2643.060948_g20744_i0		
Pele_NODE_131549_length_903_cov_1849.453012_g64971_i3				Pele_NODE_13257_length_4162_cov_639.468330_g1219_i5	Pele_NODE_47563_length_2286_cov_139.452779_g4545_i2		
Pele_NODE_131709_length_902_cov_51.379976_g68555_i0				Pele_NODE_132590_length_894_cov_16.786845_g69230_i0	Pele_NODE_47592_length_2285_cov_296.408680_g1810_i4		
Pele_NODE_131718_length_902_cov_39.869723_g68563_i0				Pele_NODE_132769_length_892_cov_7805.544567_g13800_i6	Pele_NODE_47606_length_2284_cov_1791.728177_g20789_i0		
Pele_NODE_131780_length_901_cov_3264.349034_g68622_i0				Pele_NODE_132784_length_892_cov_387.857143_g69384_i0	Pele_NODE_47649_length_2283_cov_157.531222_g12332_i1		
Pele_NODE_131997_length_899_cov_1337.331719_g68791_i0				Pele_NODE_132899_length_891_cov_570.447433_g69473_i0	Pele_NODE_47781_length_2279_cov_107.515413_g19028_i1		
Pele_NODE_132041_length_899_cov_31.886199_g68814_i0				Pele_NODE_13306_length_4158_cov_219.215667_g513_i10	Pele_NODE_47879_length_2276_cov_42.750340_g20891_i0		
Pele_NODE_132199_length_897_cov_3695.211165_g68940_i0				Pele_NODE_13314_length_4157_cov_367.504407_g2717_i6	Pele_NODE_47937_length_2274_cov_344.049523_g1126_i12		
Pele_NODE_132321_length_896_cov_263.037667_g69028_i0				Pele_NODE_133215_length_888_cov_64917.595092_g69728_i0	Pele_NODE_48216_length_2266_cov_87.154127_g21037_i0		
Pele_NODE_13252_length_4163_cov_85.148166_g6132_i0				Pele_NODE_133446_length_886_cov_941.843788_g13740_i3	Pele_NODE_4825_length_5789_cov_164.006473_g2424_i1		
Pele_NODE_132553_length_894_cov_145.306943_g69208_i0				Pele_NODE_133449_length_886_cov_808.070111_g4479_i5	Pele_NODE_48302_length_2263_cov_230.798174_g21077_i0		
Pele_NODE_132567_length_894_cov_58.479903_g69214_i0				Pele_NODE_13360_length_4151_cov_442.436243_g6175_i0	Pele_NODE_4830_length_5788_cov_225.645494_g42_i21		
Pele_NODE_132570_length_894_cov_46.555420_g69216_i0				Pele_NODE_133806_length_883_cov_582.319753_g70175_i0	Pele_NODE_48314_length_2263_cov_86.888584_g21082_i0		
Pele_NODE_132648_length_893_cov_1429.101220_g69281_i0				Pele_NODE_133933_length_882_cov_222.264524_g70277_i0	Pele_NODE_48332_length_2262_cov_978.520786_g21093_i0		
Pele_NODE_132774_length_892_cov_1798.199023_g69376_i0				Pele_NODE_13397_length_4146_cov_1657.789590_g278_i123	Pele_NODE_48338_length_2262_cov_623.401553_g21095_i0		
Pele_NODE_132800_length_892_cov_110.312576_g69395_i0				Pele_NODE_13439_length_4142_cov_236.347260_g2178_i12	Pele_NODE_48367_length_2261_cov_624.233547_g3924_i5		
