C0 (4060 genes)	C1 (1821 genes)	C2 (1008 genes)	C3 (1919 genes)	C4 (4920 genes)	C5 (2858 genes)	C6 (1913 genes)	C7 (256 genes)
Pele_DN1055_c0_g1_i44	Pele_DN1164_c0_g1_i16	Pele_DN1313_c0_g1_i64	Pele_DN11269_c0_g1_i14	Pele_DN10513_c0_g1_i15	Pele_DN105166_c0_g1_i7	Pele_DN11023_c1_g2_i4	Pele_DN2210_c0_g2_i4
Pele_DN1057_c0_g1_i10	Pele_DN1165_c1_g1_i11	Pele_DN13568_c0_g1_i5	Pele_DN112_c2_g1_i4	Pele_DN10559_c0_g1_i6	Pele_DN10537_c0_g1_i43	Pele_DN11037_c0_g1_i13	Pele_DN22229_c0_g1_i21
Pele_DN105983_c0_g1_i1	Pele_DN11715_c0_g1_i17	Pele_DN13737_c0_g1_i1	Pele_DN113083_c0_g1_i1	Pele_DN10559_c0_g1_i8	Pele_DN10558_c0_g1_i1	Pele_DN11085_c1_g1_i2	Pele_DN22530_c0_g1_i13
Pele_DN10623_c0_g1_i4	Pele_DN11718_c0_g1_i36	Pele_DN1392_c0_g1_i17	Pele_DN11311_c1_g1_i11	Pele_DN105632_c0_g1_i4	Pele_DN105763_c0_g1_i11	Pele_DN11093_c0_g1_i8	Pele_DN2278_c0_g1_i22
Pele_DN1065_c0_g1_i1	Pele_DN117264_c0_g1_i3	Pele_DN1392_c0_g1_i28	Pele_DN11311_c1_g1_i13	Pele_DN10572_c0_g1_i12	Pele_DN10608_c0_g1_i6	Pele_DN11097_c1_g1_i12	Pele_DN2298_c0_g1_i9
Pele_DN1068_c1_g1_i13	Pele_DN11768_c0_g1_i1	Pele_DN14068_c0_g1_i7	Pele_DN11311_c1_g1_i16	Pele_DN10588_c0_g1_i10	Pele_DN10620_c2_g1_i6	Pele_DN1109_c1_g1_i7	Pele_DN2301_c0_g1_i18
Pele_DN10704_c0_g1_i12	Pele_DN118063_c1_g1_i11	Pele_DN14114_c0_g1_i1	Pele_DN11431_c0_g1_i23	Pele_DN10631_c0_g1_i21	Pele_DN10644_c0_g1_i3	Pele_DN1111_c11_g1_i20	Pele_DN2305_c0_g1_i18
Pele_DN10740_c0_g1_i2	Pele_DN11831_c0_g1_i5	Pele_DN14129_c0_g1_i4	Pele_DN1150_c3_g1_i10	Pele_DN10632_c0_g1_i6	Pele_DN10684_c0_g1_i19	Pele_DN1114_c0_g1_i13	Pele_DN23272_c0_g1_i13
Pele_DN107440_c0_g1_i2	Pele_DN11935_c1_g1_i28	Pele_DN1454_c0_g1_i34	Pele_DN1150_c3_g1_i13	Pele_DN10641_c0_g1_i2	Pele_DN1068_c1_g1_i26	Pele_DN11167_c0_g1_i3	Pele_DN23362_c0_g1_i14
Pele_DN10777_c0_g1_i1	Pele_DN12021_c0_g1_i31	Pele_DN1454_c0_g1_i9	Pele_DN1150_c3_g1_i6	Pele_DN10655_c0_g1_i2	Pele_DN1069_c1_g2_i4	Pele_DN1117_c0_g1_i5	Pele_DN24152_c0_g2_i12
